iter	Passed	Remaining
0	166	165836
1	187	93635
2	210	69950
3	233	58249
4	257	51307
5	285	47346
6	314	44569
7	342	42524
8	371	40865
9	401	39753
10	435	39126
11	466	38404
12	495	37609
13	533	37568
14	571	37536
15	616	37886
16	651	37699
17	687	37489
18	723	37333
19	758	37166
20	791	36896
21	822	36554
22	852	36212
23	883	35922
24	913	35642
25	941	35277
26	971	35005
27	1006	34936
28	1042	34898
29	1078	34878
30	1113	34812
31	1149	34761
32	1182	34653
33	1216	34552
34	1248	34424
35	1286	34452
36	1323	34440
37	1354	34285
38	1387	34189
39	1424	34189
40	1458	34108
41	1488	33941
42	1515	33737
43	1544	33565
44	1575	33426
45	1602	33238
46	1629	33044
47	1657	32877
48	1686	32733
49	1714	32580
50	1740	32393
51	1769	32258
52	1796	32095
53	1822	31924
54	1850	31787
55	1877	31653
56	1906	31542
57	1935	31429
58	1966	31356
59	1991	31195
60	2018	31067
61	2044	30925
62	2070	30797
63	2100	30724
64	2129	30634
65	2156	30523
66	2186	30447
67	2219	30413
68	2248	30336
69	2274	30223
70	2302	30128
71	2332	30064
72	2360	29979
73	2391	29922
74	2420	29846
75	2449	29784
76	2482	29754
77	2569	30377
78	2613	30465
79	2651	30491
80	2680	30407
81	2708	30325
82	2748	30368
83	2784	30360
84	2821	30375
85	2862	30419
86	2898	30422
87	2938	30448
88	2968	30384
89	2998	30322
90	3030	30274
91	3061	30212
92	3092	30164
93	3123	30104
94	3151	30021
95	3183	29981
96	3216	29943
97	3249	29909
98	3283	29882
99	3316	29844
100	3351	29834
101	3386	29817
102	3421	29794
103	3469	29888
104	3499	29830
105	3527	29747
106	3554	29664
107	3582	29586
108	3609	29505
109	3639	29448
110	3666	29364
111	3695	29296
112	3724	29236
113	3752	29163
114	3780	29094
115	3808	29023
116	3838	28966
117	3864	28882
118	3893	28826
119	3922	28761
120	3946	28667
121	3972	28585
122	3997	28500
123	4024	28433
124	4053	28373
125	4079	28299
126	4105	28223
127	4132	28151
128	4159	28084
129	4187	28025
130	4217	27974
131	4245	27918
132	4276	27878
133	4304	27816
134	4337	27791
135	4366	27738
136	4399	27713
137	4430	27677
138	4459	27624
139	4490	27585
140	4522	27553
141	4558	27544
142	4589	27504
143	4618	27455
144	4648	27409
145	4676	27353
146	4703	27291
147	4727	27216
148	4752	27142
149	4777	27074
150	4801	26997
151	4826	26927
152	4850	26850
153	4874	26779
154	4900	26713
155	4923	26638
156	4947	26563
157	4971	26494
158	4996	26429
159	5021	26360
160	5047	26301
161	5074	26248
162	5100	26191
163	5130	26154
164	5158	26103
165	5186	26055
166	5213	26005
167	5238	25944
168	5267	25901
169	5295	25852
170	5322	25802
171	5350	25756
172	5381	25725
173	5416	25711
174	5449	25691
175	5483	25674
176	5530	25716
177	5575	25749
178	5606	25715
179	5644	25714
180	5675	25681
181	5714	25682
182	5746	25656
183	5788	25669
184	5830	25683
185	5877	25719
186	5905	25673
187	5930	25614
188	5958	25566
189	5983	25510
190	6011	25463
191	6038	25413
192	6066	25367
193	6096	25327
194	6124	25282
195	6154	25247
196	6185	25212
197	6221	25201
198	6257	25187
199	6295	25181
200	6331	25168
201	6361	25129
202	6393	25099
203	6429	25086
204	6462	25060
205	6502	25062
206	6541	25059
207	6570	25019
208	6600	24981
209	6633	24953
210	6665	24925
211	6698	24899
212	6730	24868
213	6763	24843
214	6799	24827
215	6832	24797
216	6866	24775
217	6904	24767
218	6943	24762
219	6983	24760
220	7017	24736
221	7050	24708
222	7084	24685
223	7116	24651
224	7146	24616
225	7177	24582
226	7209	24549
227	7241	24518
228	7272	24486
229	7305	24457
230	7337	24427
231	7368	24393
232	7399	24358
233	7430	24324
234	7461	24289
235	7492	24256
236	7524	24223
237	7554	24188
238	7583	24145
239	7618	24125
240	7647	24086
241	7678	24051
242	7710	24018
243	7740	23982
244	7770	23944
245	7801	23911
246	7829	23867
247	7855	23820
248	7880	23768
249	7907	23723
250	7933	23675
251	7960	23627
252	7987	23583
253	8014	23538
254	8044	23502
255	8072	23461
256	8099	23416
257	8128	23377
258	8159	23344
259	8192	23317
260	8223	23283
261	8262	23274
262	8308	23281
263	8361	23311
264	8406	23315
265	8448	23312
266	8494	23319
267	8542	23333
268	8586	23334
269	8621	23310
270	8658	23292
271	8694	23271
272	8730	23249
273	8768	23233
274	8801	23204
275	8830	23164
276	8863	23134
277	8896	23106
278	8928	23073
279	8961	23043
280	8995	23018
281	9027	22984
282	9058	22949
283	9085	22906
284	9113	22863
285	9141	22822
286	9170	22781
287	9200	22744
288	9227	22700
